corpus_index,file,date,timestamp,asset,direction,basis,horizon_days,entry,stop,target,claim,adjudication
95,IMG_7824,2026-04-03,2026-04-03 20:34,BTC,short,forecast,30,,,62000,62k is the main region i'm looking for if incase 60k's are broken we will much down side potentially 20% move lower before real reversal begins,'62k is the main region i'm looking for'
96,IMG_7824,2026-04-06,2026-04-06 07:55,BTC,short,forecast,30,,,,"So, Many things wrong with this pump !!! Masses wouldn't be able to see it",'Many things wrong with this pump'
98,IMG_7824,2026-04-07,2026-04-07 00:53,BTC,short,forecast,30,,,,70.2k = bearish retest 🐶,'70.2k = bearish retest'
100,IMG_7825,2026-04-14,2026-04-14 09:06,BTC,long,forecast,30,,,,Everything is invalidated with this pump bullish region forming ....,"'bullish region forming', prior shorts voided"
99,IMG_7825,2026-04-14,2026-04-14 07:28,GMX,long,position,30,,,,GMX 3X - LV HERE,'GMX 3X - LV HERE'
113,"IMG_7830,IMG_7831",2026-04-17,2026-04-17 02:53,BTC,long,forecast,30,,,,"The break out has begun, are you all ready ? 🤴",'The break out has begun'
125,IMG_7834,2026-04-18,2026-04-18 07:23,BTC,long,position,44,,,,IM LONG MAKE SURE TO LONG UNTIL JUNE @everyone I know exactly what's going on,'LONG UNTIL JUNE' (to 1 Jun)
130,IMG_7834,2026-04-19,2026-04-19 02:52,BTC,long,bare_level,30,,,89000,89k,"'89k' with spot at 73,758"
131,IMG_7835,2026-04-23,2026-04-23 03:43,GMX,long,position,30,,,,Gmx has a lot of potential - insider traders,'betting hard'
134,IMG_7835,2026-04-26,2026-04-26 02:24,BTC,long,forecast,30,,,89000,weekend we dumb yes - monday we fly,'monday we fly'; '89...' same day
146,"IMG_7838,IMG_7839",2026-05-06,2026-05-06 15:35,LINK,long,forecast,30,,,,Make sure your heavy on link,'Make sure your heavy on link'
152,IMG_7840,2026-05-11,2026-05-11 00:36,BTC,long,forecast,30,,,,The pump will be disgusting,'The pump will be disgusting'
162,IMG_7843,2026-06-03,2026-06-03 07:49,BTC,long,position,30,,,108000,I holded this position since feb to be in loss today June 3rd I believe in being calmn and taking profits as the number I think it would go to 108k btc,"held since Feb, 'would go to 108k'"
164,IMG_7843,2026-06-05,2026-06-05 08:48,BTC,short,bare_level,30,,,46200,46.2k,"'46.2k' with spot at 61,022"
172,IMG_7848,2026-06-17,2026-06-17 22:09,BTC,long,forecast,30,,,68800,We moving towards the bearish order block 68.8k ... the other 2 zones are the max extension [crown pepe emoji],'We moving towards ... 68.8k'
177,"IMG_7849,IMG_7850",2026-06-20,2026-06-20 05:00,BTC,long,forecast,30,,,68800,Btc current thoughts after that rejection as mentioned at 65k to 62k ( I'm looking for a pull back to 68.8k bearish order block as previously mentioned ),'looking for a pull back to 68.8k'
188,IMG_7856,2026-06-27,2026-06-27 09:33,BTC,long,forecast,30,,,,"Bottom is forming, 3 taps on 60k's, As well as bullish order block forming { time to join in } [emoji]","'Bottom is forming, 3 taps on 60k's'"
187,IMG_7856,2026-06-27,2026-06-27 05:47,DOGE,long,position,30,,,,Adding some link here [emoji] and some doge coin at same time,'and some doge coin at same time'
187,IMG_7856,2026-06-27,2026-06-27 05:47,LINK,long,position,30,,,,Adding some link here [emoji] and some doge coin at same time,'Adding some link here'
190,IMG_7858,2026-06-30,2026-06-30 03:01,DOGE,long,position,30,,,,Buying doge here,'Buying doge here'
192,IMG_7859,2026-07-02,2026-07-02 17:57,BTC,long,forecast,30,,,,"No more 48k btc, we are bottom","'No more 48k btc, we are bottom'"
193,IMG_7859,2026-07-02,2026-07-02 22:03,XRP,long,position,30,,,,Long,'Long' / 'Xrp'
200,"IMG_7861,IMG_7862",2026-07-07,2026-07-07 02:38,BTC,long,forecast,30,,,,Yes let's go summer gonna be green hold tight,'summer gonna be green hold tight'
201,IMG_7862,2026-07-08,2026-07-08 08:51,BTC,long,forecast,30,,,69000,Looking for 69-72k resistance level Hold strong,'Looking for 69-72k resistance level'
204,IMG_7790,2026-07-20,2026-07-20 03:59,BTC,long,forecast,30,,,,[custom emoji: pepe holding pencil] - The whole crypto market is on the verge of a breakout,"market-wide claim, scored against BTC as proxy"
206,"IMG_7790,IMG_7864",2026-07-21,2026-07-21 14:00,XRP,long,forecast,30,,,,"XRP's price action is signaling a potential trend reversal (inverse head and shoulder) , with multiple technical factors reinforcing the upside bias This is an actual - FOMO [custom emoji: pepe wearing crown and sunglasses]","inverse H&S, 'upside bias', 'actual FOMO'"
211,IMG_7865,2026-07-25,2026-07-25 07:34,BTC,long,forecast,30,,,70000,They trying to lure bears into shorting before the next leg up which will lead to 70k+,'next leg up which will lead to 70k+'
